Dimensions,DE,PSO,ABC,FA,CS,TLBO,SA,HC
2,0.047078,0.030470,0.045468,0.361203,0.028314,0.040148,0.026936,0.016999
5,0.046828,0.037231,0.049012,0.359003,0.037837,0.117541,0.048975,0.019813
10,0.060097,0.032851,0.039757,0.349562,0.035094,0.055614,0.027488,0.016128
20,0.041215,0.030016,0.043678,0.366087,0.043479,0.038758,0.026320,0.015922
