Dimensions,DE,PSO,ABC,FA,CS,TLBO,SA,HC
2,0.048037,0.037444,0.051075,0.432673,0.031709,0.043490,0.030500,0.024192
5,0.057811,0.037365,0.052736,0.375519,0.042283,0.041548,0.030886,0.021770
10,0.067305,0.039799,0.085789,0.548929,0.031537,0.038168,0.028428,0.019500
20,0.042152,0.030913,0.042548,0.392463,0.029894,0.038668,0.024835,0.017749
