Dimensions,DE,PSO,ABC,FA,CS,TLBO,SA,HC
2,0.124535,0.072841,0.123190,0.805088,0.052689,0.105426,0.054885,0.040196
5,0.113376,0.071567,0.096250,0.797468,0.078295,0.105703,0.069710,0.036982
10,0.113686,0.073521,0.112497,0.809489,0.071997,0.106915,0.069807,0.067128
20,0.135191,0.071419,0.096270,0.855100,0.063370,0.078860,0.071324,0.036154
