Dimensions,DE,PSO,ABC,FA,CS,TLBO,SA,HC
2,0.120078,0.082570,0.114459,0.926164,0.075065,0.112870,0.064782,0.048318
5,0.141412,0.078553,0.129135,0.860280,0.076394,0.118202,0.057773,0.048451
10,0.102133,0.081144,0.127225,0.857779,0.088079,0.095684,0.057951,0.027284
20,0.137364,0.086461,0.091765,0.808329,0.080749,0.106228,0.071805,0.031878
